state,pop,density
Puerto Rico,3193694,null
District of Columbia,705749,11543.99994
New Jersey,8882190,1207.672217
Rhode Island,1059361,1024.626729
Massachusetts,6892503,883.5457036
Connecticut,3565287,736.2210464
Maryland,6045680,622.5512503
Delaware,973764,499.7477588
New York,19453561,412.8184286
Florida,21477737,400.3464277
Pennsylvania,12801989,286.1310581
Ohio,11689100,286.0855212
California,39512223,253.5206882
Illinois,12671821,228.2646781
Hawaii,1415872,220.4575009
Virginia,8535519,216.1867587
North Carolina,10488084,215.7142042
Indiana,6732219,187.9120311
Georgia,10617423,183.9587314
Michigan,9986857,176.4277398
South Carolina,5148714,171.2600764
Tennessee,6829174,165.6040423
New Hampshire,1359711,151.8653269
Washington,7614893,114.5870085
Kentucky,4467673,113.1303141
Texas,28995881,110.9834667
Louisiana,4648794,107.5997929
Wisconsin,5822434,107.4895542
Alabama,4903185,96.81165244
Missouri,6137428,89.27757816
West Virginia,1792147,74.54504806
Minnesota,5639632,70.82662351
Vermont,623989,67.69333266
Arizona,7278717,64.04325175
Mississippi,2976149,63.42279732
Arkansas,3017804,57.99283631
Oklahoma,3956971,57.68520258
Iowa,3155070,56.48808963
Colorado,5758736,55.56614284
Oregon,4217737,43.94025129
Maine,1344212,43.57985941
Utah,3205958,38.91817613
Kansas,2913314,35.63317347
Nevada,3080156,28.03700637
Nebraska,1934408,25.18219543
Idaho,1787065,21.62335489
New Mexico,2096829,17.2845621
South Dakota,884659,11.66947081
North Dakota,762062,11.04521346
Montana,1068778,7.343145217
Wyoming,578759,5.961136325
Alaska,731545,1.281126592
